nom,domaine,nb_images,nb_objets,annote,format_source,licence,taille_disque,statut_acquisition,url,boite_aire_rel_mediane_pct,objets_par_image_median
sous_marin_local,sous-marin,?,?,oui (annoncé),YOLO txt et/ou COCO json (à vérifier),interne SogetiLabs,,"NON AUDITÉ : chemin <CHEMIN> non fourni, aucune image trouvée dans le conteneur, le dépôt ni le Drive",(chemin local à fournir),,
aerien_local_478,aérien,478 (annoncé),?,oui (annoncé),YOLO txt et/ou COCO json (à vérifier),interne SogetiLabs,,"NON AUDITÉ : chemin <CHEMIN> non fourni, aucune image trouvée dans le conteneur, le dépôt ni le Drive",(chemin local à fournir),,
whales_from_space_sample,satellite,20,20,oui,"YOLO txt (cls xc yc w h), PNG 8 bits",CC BY 4.0 (dérivé de Cubaynes & Fretwell 2022),460K,RÉCUPÉRÉ (GitHub) : 20 chips dont 8 originaux + variantes bruitées/ajustées,https://github.com/WSiqiqi/WSDataset,4.5610,1.0
whales_from_space_full,satellite,633 chips 150x150 (publié),633 boîtes + 633 points,oui,"shapefiles boîtes + points (ArcGIS), chips GeoTIFF",annotations CC BY 4.0 ; imagerie © Maxar (chips sur demande),,INACCESSIBLE : data.bas.ac.uk / ramadda.data.bas.ac.uk bloqués (403 proxy) ; chips délivrés sur demande à PDCServiceDesk@bas.ac.uk,https://doi.org/10.5285/C1AFE32C-493C-4DC7-AF9F-649593B97B2C,,
beluga_seeker_sam,satellite,4,1622,"partiel (annotations complètes, 4 images sur 538 dans le dépôt)","COCO json (boîtes SAM + boîtes tampon fixes), chips PNG 320x320 / 192x192 panchromatiques",code GPL-3.0 ; données non précisées (imagerie Maxar/WorldView) ,6.5M,RÉCUPÉRÉ PARTIEL (GitHub) : annotations seules ; images à demander aux auteurs (UCAS),https://github.com/VoyagerXvoyagerx/beluga-seeker,0.0644,1.0
guirado_2019,satellite + aérien,700 (présence) + 945 baleines (comptage) ; test 13 348,945 baleines (publié),oui (chez les auteurs),TF object detection (non publié),images Google Earth / Arkive / NOAA : non redistribuables,,INACCESSIBLE : le dépôt GitHub ne contient que le README et 2 figures ; données 'sur demande raisonnable et autorisation écrite',https://github.com/EGuirado/CNN-Whales-from-Space ; https://doi.org/10.1038/s41598-019-50795-9,,
green_2023_gray_whales,satellite + aérien (drone),?,503 baleines + 103 bateaux (train/val/test publiés),oui (chez les auteurs),YOLOv5 (publié),imagerie Maxar sous licence ; pas de dépôt public identifié,,INACCESSIBLE : aucun dépôt de données public identifié (Wiley/NORA bloqués) ; contacter les auteurs (Duke MaRRS Lab),https://doi.org/10.1002/rse2.352,,
masati_v2,satellite (aérien optique),7 389,"boîtes navires (classes ship, multi, coast-ship, detail)","oui (bateaux, pas de faune)",images PNG 512x512 + XML boîtes,"usage non lucratif recherche/éducation, sur demande",,INACCESSIBLE : www.iuii.ua.es bloqué (403 proxy) ; formulaire de demande sur la page,https://www.iuii.ua.es/datasets/masati/index.html,,
noaa_right_whale_kaggle,aérien,11 469 (4 544 train + 6 925 test),0 boîte officielle (identité par image),non (ID individu seulement),JPG + train.csv (whaleID),règles de compétition Kaggle (usage non commercial),,INACCESSIBLE : www.kaggle.com bloqué (403 proxy) ; nécessite compte + acceptation des règles,https://www.kaggle.com/c/noaa-right-whale-recognition/rules,,
noaa_right_whale_heads,aérien,4544 (annotations seules),4547,partiel (boîtes tête sans les images),"Sloth json (rect x,y,width,height ; classes Head/Body)",MIT (annotations) ; images Kaggle,3.7M,RÉCUPÉRÉ PARTIEL (GitHub) : 4 547 boîtes 'Head' sur 4 544 images train ; dimensions images inconnues -> pas d'aire relative,https://github.com/Smerity/right_whale_hunt,n/a,1.0
noaa_steller_sea_lion_kaggle,aérien,948 train + 18 641 test (publié),"points colorés par classe (TrainDotted), pas de boîtes",partiel (points),JPG + train.csv comptes + images pointées,règles de compétition Kaggle,,"INACCESSIBLE : Kaggle bloqué ; 103 Go : ne pas télécharger intégralement, échantillon TrainSmall2.zip (~1 Go) via scripts/kaggle_download.sh",https://www.kaggle.com/c/noaa-fisheries-steller-sea-lion-population-count/rules,,
noaa_arctic_seals_2019_sample,aérien,216,718,oui,CSV (rgb_left/right/top/bottom + IR) -> COCO ; JPG 6576x4384,CDLA-Permissive 1.0 (LILA BC),8.1G,"RÉCUPÉRÉ (LILA/GCS) : échantillon stratifié 4 vols, 202 images RGB annotées sur 4 113 (8,1 Go) ; jeu complet ~1 To",https://lila.science/datasets/noaa-arctic-seals-2019/,0.0092,2.0
noaa_arctic_seals_2019_full,aérien,216,14311,oui,CSV détections validées (score) ; 44 185 paires RGB/IR,CDLA-Permissive 1.0 (LILA BC),,"AUDIT SUR ANNOTATIONS SEULES (taille image supposée 6576x4384, vérifiée sur 202 images)",https://storage.googleapis.com/public-datasets-lila/noaa-kotz/,0.0092,0.0
uas_waterfowl_experts,aérien non marin,12,2243,oui,COCO json ; JPG 5472x3648 (drone DJI Mavic 2 Pro),CC BY-NC 2.0,336M,"RÉCUPÉRÉ (LILA/GCS) : 12 images plein cadre, 2 243 boîtes consensus experts",https://lila.science/datasets/uas-imagery-of-migratory-waterfowl/,0.0099,85.0
uas_waterfowl_crowd,aérien non marin,356,2175,oui,COCO json ; tuiles PNG 684x521,CC BY-NC 2.0,,"RÉCUPÉRÉ (LILA/GCS) : 338 tuiles, 2 175 boîtes consensus Zooniverse",https://lila.science/datasets/uas-imagery-of-migratory-waterfowl/,0.7099,4.0
izembek_lagoon_birds,aérien non marin (littoral),9267 (annotations seules),521270,oui (boîtes fixes 18x18 = points),COCO json ; JPG 8688x5792,CDLA-Permissive 1.0 (USGS),193M,AUDIT SUR ANNOTATIONS SEULES (images 126 Go non téléchargées),https://lila.science/datasets/izembek-lagoon-waterfowl/,0.0026,1.0
visdrone_det,aérien non marin,10 209 (6 471 train / 548 val / 1 610 test-dev / 1 580 challenge),">540 000 boîtes, 10 classes",oui,"txt par image : x,y,w,h,score,cls,truncation,occlusion",usage recherche (citation Zhu et al. 2021),,"INACCESSIBLE : hébergé sur Google Drive / Baidu (drive.google.com bloqué 403) ; train 1,44 Go + val 0,07 Go + test-dev 0,28 Go",https://github.com/VisDrone/VisDrone-Dataset,,
dota,aérien non marin (satellite/aérien),v1.0 : 2 806 ; v2.0 : 11 268,v1.0 : 188 282 ; v1.5 : 403 318 ; v2.0 : 1 793 658 (OBB),oui (boîtes orientées),txt : 8 coordonnées + classe + difficulté,"académique uniquement, usage commercial interdit",,INACCESSIBLE : captain-whu.github.io et Google Drive bloqués (403) ; ~20 Go (v1.0),https://captain-whu.github.io/DOTA/dataset.html,,
noaa_estuary_fish,sous-marin (référence),77689 (annotations seules),67990,oui,COCO json ; JPG 1920x1080 (vidéo GoPro estuaire),CDLA-Permissive 1.0 (LILA BC),64M,"AUDIT SUR ANNOTATIONS SEULES (images 7,3 Go disponibles : noaa-psnf/noaa_estuary_fish-images.zip)",https://lila.science/datasets/noaa-puget-sound-nearshore-fish/,0.1922,0.0
community_fish_detection,sous-marin (référence),1903035 (annotations seules),935049,oui,COCO json agrégé (multi-sources),variable selon source (voir page LILA),1.5G,AUDIT SUR ANNOTATIONS SEULES (images sous community-fish-detection-dataset/JPEGImages/),https://lila.science/datasets/community-fish-detection-dataset/,10.6743,0.0
gray_2019_sea_turtles_drone,aérien,1 059 (NIR),1 902 points,partiel (points),CSV points,CC0,,"INACCESSIBLE : zenodo.org bloqué (403) ; 7,24 Go",https://zenodo.org/record/5004596,,
seadronessee,"aérien (maritime, humains/bateaux)",5 630 (DET),boîtes swimmer/boat/jetski/buoy,oui,COCO json,usage recherche (inscription),,INACCESSIBLE : seadronessee.cs.uni-tuebingen.de bloqué (403),https://seadronessee.cs.uni-tuebingen.de/,,
